N_ratio,P_ratio,K_ratio,Soil_pH,Temperature_C,Humidity_pct,Rainfall_mm,Yield_ton_per_ha
57.89,24.32,22.88,7.01,19.7,40.3,1485.4,101.48
64.05,94.51,63.24,5.79,29.1,55.4,399.4,127.39
21.79,21.38,18.03,7.24,30.5,74.4,980.9,68.99
68.17,55.54,134.09,6.79,26.4,62.0,1054.3,169.06
131.7,35.43,28.67,5.96,20.4,70.9,744.6,118.71
35.52,13.03,16.05,5.82,23.1,47.6,817.5,58.85
122.15,33.86,111.89,6.76,16.9,31.9,1358.2,173.44
102.95,42.61,123.84,7.3,34.1,31.7,1038.9,170.05
142.8,65.45,54.95,6.94,32.4,86.6,846.1,162.2
91.08,44.64,107.88,6.2,16.3,86.7,366.9,141.67
128.96,49.79,40.75,6.67,18.3,42.7,209.5,116.72
59.49,46.0,43.72,6.12,26.6,38.8,362.5,95.23
35.81,25.51,22.78,7.5,19.6,31.1,1443.0,90.56
37.19,36.74,48.27,7.0,33.7,43.9,1193.3,110.57
76.3,24.25,36.24,6.73,30.1,50.1,1457.3,116.37
89.3,28.12,22.08,6.35,20.5,44.5,246.4,77.17
88.96,69.62,32.82,6.74,15.1,77.8,1084.3,131.97
32.93,40.06,29.12,6.18,31.0,75.0,257.6,56.94
42.67,40.07,14.66,5.56,23.5,34.9,1216.7,90.69
88.96,70.83,69.41,6.29,27.8,71.8,695.2,143.84
17.32,15.83,18.75,7.36,20.7,61.2,324.5,45.32
43.46,24.16,19.78,6.75,17.9,37.9,938.5,77.47
36.81,59.33,62.56,5.67,28.5,74.4,564.2,101.26
60.09,11.58,15.63,7.27,24.0,35.2,1057.4,89.88
126.86,68.35,94.79,6.04,19.7,40.6,1055.6,180.56
89.72,54.09,73.69,5.99,17.8,39.0,1116.5,140.51
51.89,70.21,36.1,6.09,26.6,86.3,1490.2,128.95
54.89,9.77,13.44,6.65,29.5,71.9,702.7,59.31
113.43,19.08,13.79,6.59,20.7,54.7,804.9,95.27
87.45,53.64,71.62,6.48,29.7,79.3,1246.0,150.88
159.7,86.3,46.2,6.94,18.7,43.0,951.9,171.77
87.04,53.27,27.89,6.13,21.8,85.9,248.4,92.83
149.7,52.82,20.58,7.06,29.9,71.8,1296.0,150.57
44.69,31.03,23.08,5.85,28.2,63.6,266.9,63.75
102.93,40.01,62.97,7.07,20.4,77.7,422.1,116.13
42.86,21.16,45.78,6.83,17.4,68.7,332.7,71.02
68.61,16.7,14.19,6.87,15.8,83.2,301.3,64.21
84.7,33.92,58.69,6.46,31.8,79.7,233.4,95.49
60.39,26.7,15.81,6.83,16.5,41.9,271.5,67.5
77.52,111.95,40.83,5.66,17.3,44.4,775.2,141.01
98.29,95.67,90.34,7.2,19.8,33.9,528.7,155.85
31.6,58.83,57.97,5.61,23.9,43.2,364.5,91.78
58.67,35.95,35.98,5.8,30.8,50.6,1056.3,111.95
65.03,15.63,13.33,6.65,19.9,31.7,493.9,64.81
33.61,24.23,89.76,6.98,25.9,48.9,224.6,77.48
37.52,43.86,108.52,5.65,16.8,76.3,743.9,125.24
47.22,56.58,39.4,7.34,24.3,80.4,603.6,102.45
101.04,16.02,88.75,7.45,18.6,30.5,614.2,119.64
73.8,58.09,83.71,6.71,19.2,30.4,778.9,131.03
48.24,13.94,12.32,6.46,22.3,38.8,1069.6,73.98
37.09,67.9,119.41,6.98,30.2,82.4,1001.4,138.61
140.3,102.58,32.22,6.16,29.9,58.2,1418.4,196.49
32.42,23.59,0.59,6.49,23.3,89.0,873.0,58.9
52.04,118.07,17.69,7.33,17.4,83.2,814.3,122.02
158.21,17.48,25.31,7.41,20.6,83.4,477.4,120.73
123.08,59.68,44.74,7.35,25.1,37.7,1182.0,152.94
105.08,13.0,28.33,6.02,32.4,58.5,383.0,88.59
140.46,73.11,41.13,5.96,34.4,89.6,838.5,154.68
53.0,65.14,66.86,6.1,27.7,38.9,747.7,114.58
93.34,26.62,32.24,6.38,22.0,64.5,1055.8,114.21
95.27,59.01,75.52,6.13,28.9,50.7,1392.9,169.23
93.97,94.21,93.62,6.25,21.7,53.3,1430.6,192.91
145.98,48.72,58.3,6.74,27.5,83.4,418.1,143.1
90.72,31.84,160.13,7.03,19.9,65.3,540.4,160.58
61.53,33.65,21.31,6.97,20.3,75.5,1255.1,108.05
23.72,36.54,19.34,7.13,16.5,70.4,873.8,65.32
97.73,32.15,53.71,5.56,23.4,61.7,788.9,111.8
25.7,13.85,21.55,5.6,27.4,77.5,1123.8,71.0
99.36,43.89,75.34,7.08,30.8,88.2,982.5,149.2
42.36,43.42,24.22,6.57,31.2,88.0,1461.9,92.66
75.11,36.08,52.42,6.66,34.8,77.4,959.2,119.53
73.89,59.45,80.56,5.61,16.8,59.2,805.8,128.84
83.57,43.46,43.77,6.01,24.9,39.8,905.7,110.46
41.29,56.37,11.34,6.78,25.4,32.7,1251.1,95.67
228.45,31.74,9.91,7.22,31.1,43.9,996.5,165.39
62.63,56.47,122.01,7.33,20.3,50.4,1041.2,147.0
78.86,93.95,27.49,6.5,16.4,37.8,1462.9,147.86
130.77,67.65,26.18,6.59,21.3,43.5,1003.9,146.46
28.9,86.26,38.64,7.17,34.7,35.0,694.4,96.08
85.34,28.96,29.7,6.58,33.0,61.4,1098.7,104.53
32.4,32.9,24.71,6.53,22.9,37.6,1057.3,83.62
121.92,17.95,111.03,7.31,32.5,74.6,218.0,141.13
66.57,21.43,57.3,7.08,15.7,50.0,807.5,86.78
112.3,45.32,65.47,7.32,21.3,70.3,1165.8,144.47
89.16,8.52,27.31,5.94,29.5,83.0,848.8,93.45
116.3,114.73,17.97,6.55,19.4,35.2,1213.5,166.9
28.75,39.63,7.92,7.18,19.0,89.3,786.1,67.59
100.44,74.29,31.58,5.72,32.2,68.7,1478.3,156.95
104.04,104.45,43.41,7.09,27.3,33.2,580.8,145.23
97.52,77.14,40.44,5.87,34.8,48.8,319.8,124.99
157.03,41.43,25.54,7.12,17.7,83.2,759.0,136.34
93.81,45.36,42.34,6.72,22.1,65.8,904.2,119.49
108.42,55.01,26.38,5.89,21.2,47.2,653.8,111.2
36.21,16.27,14.02,6.45,32.6,86.4,515.0,56.71
66.95,21.18,24.56,6.86,20.1,77.2,1073.7,84.33
97.9,76.94,55.66,6.77,22.1,74.1,690.3,134.53
161.98,75.96,48.46,6.35,17.9,83.3,1020.8,180.84
83.98,36.06,65.36,7.3,30.5,76.2,1212.8,134.35
138.56,19.35,73.5,6.54,19.8,47.2,1189.3,160.6
92.75,53.17,74.98,6.51,16.4,65.0,687.9,132.68
135.73,100.76,63.31,5.62,23.7,80.5,938.3,180.01
83.92,97.52,67.36,7.34,22.8,40.9,784.6,158.23
112.56,29.93,64.41,5.85,18.6,39.8,1332.0,145.13
18.05,25.29,35.47,6.56,17.7,39.5,1342.4,84.62
42.18,38.19,60.33,7.11,32.9,41.7,646.9,95.53
64.08,16.31,32.32,5.93,16.4,36.2,319.3,69.81
153.82,67.2,42.38,6.55,17.0,80.3,417.9,146.53
87.99,28.67,44.84,5.98,19.9,79.1,677.1,109.43
82.68,62.07,39.05,7.02,34.1,39.1,933.5,127.07
135.6,49.56,106.04,6.63,16.7,72.3,1053.8,178.89
176.68,23.47,59.05,7.21,31.3,67.6,630.8,156.05
75.55,103.51,68.44,7.29,32.8,46.6,1067.7,154.6
15.76,10.72,59.12,6.8,22.6,43.6,1419.1,94.96
20.81,28.19,6.69,6.95,20.9,45.0,1047.6,55.93
31.92,29.04,20.44,6.6,28.5,73.8,406.1,55.26
149.56,39.36,46.18,6.27,29.1,49.2,953.6,149.72
52.0,74.73,25.98,6.8,30.6,46.7,904.5,110.85
33.38,41.92,4.09,7.32,31.6,31.3,1331.9,94.08
156.32,56.59,21.89,6.33,20.4,84.5,655.4,146.3
46.01,37.84,14.75,6.13,28.7,75.2,749.8,70.17
81.87,88.2,27.23,6.28,17.7,58.4,978.3,127.11
82.87,72.0,80.53,6.37,25.2,86.6,881.8,142.2
126.52,41.04,34.44,5.65,27.3,47.6,1134.7,134.0
180.15,49.75,68.5,6.5,18.2,70.5,252.5,157.46
68.35,64.75,25.39,6.49,16.5,48.3,932.6,117.08
35.34,54.12,38.54,6.68,18.9,48.9,358.2,77.3
25.23,58.1,16.97,6.23,23.4,80.7,609.8,72.54
88.44,42.21,45.25,6.73,32.8,77.2,1060.1,127.46
79.92,50.59,132.59,7.26,25.6,47.6,404.6,144.11
241.59,15.63,29.49,7.41,30.0,34.9,601.5,167.04
71.6,101.43,119.97,6.67,18.5,51.5,1113.9,184.85
123.01,23.34,36.46,5.59,17.1,75.6,1046.0,138.5
114.59,45.26,41.45,7.44,19.8,36.0,318.4,118.78
60.32,77.41,57.67,6.91,21.3,70.3,950.4,138.7
80.19,64.39,21.91,6.17,26.0,83.4,391.4,100.34
34.55,45.48,8.07,5.79,32.6,40.8,528.0,69.05
30.89,2.57,32.94,5.79,23.5,81.7,797.0,63.12
58.15,54.7,46.34,5.84,25.4,33.1,342.2,86.0
53.98,34.57,7.94,5.59,15.1,70.0,1491.7,83.71
147.38,69.44,54.88,7.3,15.7,77.5,415.0,145.82
101.29,95.56,43.55,6.58,16.7,56.7,1215.7,166.23
107.01,51.8,45.79,6.9,29.0,42.2,1278.8,144.49
49.84,4.54,7.52,7.16,24.7,85.5,1492.8,84.57
129.74,36.39,39.46,7.08,18.9,31.2,757.2,135.82
54.79,33.5,117.02,7.27,26.9,63.3,1336.3,141.7
87.44,44.81,27.56,7.43,25.9,52.4,1444.8,135.8
90.99,92.52,30.89,6.38,16.8,57.7,424.8,117.49
79.28,116.2,69.02,7.4,27.8,62.2,823.3,161.48
103.71,111.37,24.41,6.95,30.3,62.1,278.0,128.75
65.11,55.09,48.2,5.64,20.7,42.2,1006.9,119.73
50.93,35.6,29.07,6.86,28.7,70.8,955.8,91.4
96.47,51.5,21.52,6.87,19.0,31.1,465.4,106.5
151.38,53.74,81.38,7.31,30.1,31.3,1237.3,191.39
163.35,44.56,47.09,6.25,33.2,58.7,248.4,149.49
21.25,27.88,7.68,6.67,23.8,62.5,1248.1,74.36
143.07,50.26,52.37,5.52,19.9,46.5,234.6,137.94
43.9,17.93,30.78,6.16,23.0,63.1,1053.9,80.28
61.86,96.86,34.08,5.62,20.0,61.0,302.4,108.58
167.88,39.95,43.77,6.54,15.0,51.0,526.6,146.17
76.28,43.31,70.71,7.13,28.0,69.1,1138.5,128.7
64.56,57.44,29.0,5.91,15.9,87.5,564.5,101.23
38.5,48.77,43.03,6.55,19.2,59.4,864.5,94.26
77.63,23.43,25.24,5.91,29.4,77.2,1389.8,111.7
